ema_span,vol_window,vol_mult,min_half_spread,inv_skew,pnl,sharpe,max_dd,final_pos
10,10,2.0,2.0,0.0,373.0,0.04822005996090171,-810.0,27
10,10,2.0,1.0,0.0,368.0,0.04757340610235699,-810.0,27
30,5,2.0,1.0,0.0,483.0,0.04745977378272686,-739.0,15
30,5,2.0,2.0,0.0,483.0,0.04745977378272686,-739.0,15
30,10,3.0,3.0,1.0,36.0,0.04633780479703273,-173.0,0
5,5,1.5,2.0,0.0,241.0,0.04585653034106298,-780.0,26
30,5,2.0,3.0,0.0,534.0,0.04477588234926318,-991.0,24
20,20,1.0,1.0,0.0,1315.0,0.04451229463789636,-2250.0,50
20,10,3.0,2.0,0.5,43.0,0.04416551649762508,-216.0,-2
20,10,3.0,3.0,0.5,43.0,0.04416551649762508,-216.0,-2
20,10,3.0,1.0,0.5,43.0,0.04416551649762508,-216.0,-2
20,20,1.0,5.0,0.5,58.0,0.04410724327710754,-160.0,2
20,20,0.5,5.0,0.5,58.0,0.04410724327710754,-160.0,2
20,5,0.5,5.0,0.5,58.0,0.04410724327710754,-160.0,2
20,10,0.5,5.0,0.5,58.0,0.04410724327710754,-160.0,2
20,10,1.0,5.0,0.5,58.0,0.04410724327710754,-160.0,2
20,5,1.0,5.0,0.5,58.0,0.04410724327710754,-160.0,2
10,10,0.5,2.0,0.0,1338.0,0.04368669346153801,-2192.0,50
30,20,0.5,3.0,0.0,1323.0,0.04361701692131276,-2044.0,50
20,5,1.0,2.0,0.0,1292.0,0.04351456331030963,-2153.0,50
20,10,3.0,1.0,1.0,31.0,0.04314315552131921,-155.0,-1
20,10,3.0,2.0,1.0,31.0,0.04314315552131921,-155.0,-1
20,10,3.0,3.0,1.0,31.0,0.04314315552131921,-155.0,-1
