feature,importance,target,horizon,model,product,vol_gate_q
ret_1_lag5,3072542.69921875,fwd_ret,50,lgbm,POOLED,4
ret_1_lag50,2250527.19921875,fwd_ret,50,lgbm,POOLED,4
ret_1_lag20,2104053.703125,fwd_ret,50,lgbm,POOLED,4
fam_mean_obi_l1_lag5,439525.30078125,fwd_ret,50,lgbm,POOLED,4
microprice_dev_lag5,340484.3984375,fwd_ret,50,lgbm,POOLED,4
fam_mean_ret_10_lag5,270626.0,fwd_ret,50,lgbm,POOLED,4
microprice_dev_lag1,98923.296875,fwd_ret,50,lgbm,POOLED,4
obi_l3_lag1,80099.8984375,fwd_ret,50,lgbm,POOLED,4
microprice_dev_lag20,0.0,fwd_ret,50,lgbm,POOLED,4
obi_l1_lag5,0.0,fwd_ret,50,lgbm,POOLED,4
obi_l1_lag20,0.0,fwd_ret,50,lgbm,POOLED,4
obi_l1_lag50,0.0,fwd_ret,50,lgbm,POOLED,4
obi_l3_lag5,0.0,fwd_ret,50,lgbm,POOLED,4
obi_l1_lag1,0.0,fwd_ret,50,lgbm,POOLED,4
microprice_dev_lag50,0.0,fwd_ret,50,lgbm,POOLED,4
obi_l3_lag50,0.0,fwd_ret,50,lgbm,POOLED,4
obi_l3_lag20,0.0,fwd_ret,50,lgbm,POOLED,4
fam_mean_ret_10_lag20,0.0,fwd_ret,50,lgbm,POOLED,4
fam_mean_obi_l1_lag20,0.0,fwd_ret,50,lgbm,POOLED,4
fam_mean_microprice_dev_lag5,0.0,fwd_ret,50,lgbm,POOLED,4
fam_mean_microprice_dev_lag20,0.0,fwd_ret,50,lgbm,POOLED,4
fam_mean_obi_l1_lag20,113.58821194866306,fwd_ret,100,ridge,POOLED,4
obi_l1_lag5,68.44024495788386,fwd_ret,100,ridge,POOLED,4
obi_l3_lag1,63.45083159055667,fwd_ret,100,ridge,POOLED,4
fam_mean_microprice_dev_lag20,41.02584520022757,fwd_ret,100,ridge,POOLED,4
obi_l3_lag5,33.60644603806951,fwd_ret,100,ridge,POOLED,4
obi_l1_lag50,23.86734515707446,fwd_ret,100,ridge,POOLED,4
fam_mean_obi_l1_lag5,22.72588175612398,fwd_ret,100,ridge,POOLED,4
obi_l1_lag1,20.04362772057916,fwd_ret,100,ridge,POOLED,4
obi_l3_lag50,20.003066747249683,fwd_ret,100,ridge,POOLED,4
microprice_dev_lag50,9.466369904661,fwd_ret,100,ridge,POOLED,4
microprice_dev_lag20,7.789842873382502,fwd_ret,100,ridge,POOLED,4
