product,signal,horizon,fold,n_train,n_test,ic,median_edge_excess_half_spread,frac_edge_clears_half_spread,passed_gate,cond1,cond2,cond3,cond4
PEBBLES_M,trade_imbalance,50,D2+D3->D4,19900,9950,0.05730339080997906,-6.211944405038487,0.0018090452261306533,False,False,True,True,True
PEBBLES_M,trade_imbalance,100,D2+D3->D4,19800,9900,0.03516327347298776,-5.563181965914112,0.007070707070707071,False,False,True,True,True
PEBBLES_M,neg_spread,50,D2+D3->D4,19900,9950,0.06837417341878457,-6.647827714436009,0.028944723618090452,False,False,True,True,True
PEBBLES_M,neg_spread,100,D2+D3->D4,19800,9900,0.09377290691291844,-6.4470913723533485,0.02898989898989899,False,False,True,True,True
PEBBLES_L,neg_zscore_mid_50,50,D2+D3->D4,19851,9950,-0.1390711238763915,-5.943319796586107,0.0,False,False,False,False,True
PEBBLES_L,neg_zscore_mid_50,100,D2+D3->D4,19751,9900,-0.11302855884668814,-5.5030360960234805,0.0,False,False,False,False,True
PEBBLES_L,neg_zscore_vwap_50,50,D2+D3->D4,17838,8554,-0.11299161972579946,-6.4142208295067755,0.0,False,False,False,False,True
PEBBLES_L,neg_zscore_vwap_50,100,D2+D3->D4,17738,8504,-0.0741209987136365,-6.273907559756335,0.00011759172154280339,False,False,False,False,True
PEBBLES_L,obi_l1,50,D2+D3->D4,19900,9950,-0.0019310779643971069,-6.2111207348332815,0.0,False,False,False,False,True
PEBBLES_L,obi_l1,100,D2+D3->D4,19800,9900,0.000493857192702762,-5.576731300603247,0.0032323232323232323,False,False,True,False,True
PEBBLES_L,obi_l3,50,D2+D3->D4,19900,9950,-0.001007886905435671,-6.210915922299265,0.0,False,False,False,False,True
PEBBLES_L,obi_l3,100,D2+D3->D4,19800,9900,0.0009336877502683809,-5.57444810856964,0.0,False,False,True,False,True
PEBBLES_L,momentum_10,50,D2+D3->D4,19890,9950,-0.07555450003764962,-6.006958119873147,0.0,False,False,False,False,True
PEBBLES_L,momentum_10,100,D2+D3->D4,19790,9900,-0.05868630353411442,-5.382450456554449,0.00010101010101010101,False,False,False,True,True
PEBBLES_L,trade_imbalance,50,D2+D3->D4,19900,9950,-0.06468808503004492,-6.2131974321575,0.0,False,False,False,False,True
PEBBLES_L,trade_imbalance,100,D2+D3->D4,19800,9900,-0.07147519832565752,-5.5799885740004225,0.0,False,False,False,False,True
PEBBLES_L,neg_spread,50,D2+D3->D4,19900,9950,0.018262631987924542,-6.191754279012709,0.028944723618090452,False,False,True,False,False
PEBBLES_L,neg_spread,100,D2+D3->D4,19800,9900,0.010965153230101062,-5.392660163236083,0.02898989898989899,False,False,True,False,True
PEBBLES_XL,neg_zscore_mid_50,50,D2+D3->D4,19851,9950,0.10898310508586599,-7.111500866144517,0.0022110552763819095,False,False,True,False,True
PEBBLES_XL,neg_zscore_mid_50,100,D2+D3->D4,19751,9900,0.1268527401618125,-4.661434102183611,0.17777777777777778,False,False,True,True,True
PEBBLES_XL,neg_zscore_vwap_50,50,D2+D3->D4,17103,9473,0.05350654041999378,-6.573012632284378,0.0008445054365037475,False,False,True,True,True
PEBBLES_XL,neg_zscore_vwap_50,100,D2+D3->D4,17053,9423,0.09512806088679811,-2.8945394052352063,0.2197813859704977,False,False,True,True,True
PEBBLES_XL,obi_l1,50,D2+D3->D4,19900,9950,0.0032515015213121735,-7.437088241467802,0.0011055276381909548,False,False,True,True,True
PEBBLES_XL,obi_l1,100,D2+D3->D4,19800,9900,0.00020521237211531545,-5.241317172205374,0.014646464646464647,False,False,True,True,True
PEBBLES_XL,obi_l3,50,D2+D3->D4,19900,9950,-0.0014895212965183038,-7.441675106183546,0.013969849246231156,False,False,False,False,False
PEBBLES_XL,obi_l3,100,D2+D3->D4,19800,9900,-0.00213267235702142,-5.248921542290473,0.019393939393939394,False,False,False,True,True
PEBBLES_XL,momentum_10,50,D2+D3->D4,19890,9950,0.06321483524492331,-7.658386700110604,0.0007035175879396985,False,False,True,True,True
PEBBLES_XL,momentum_10,100,D2+D3->D4,19790,9900,0.05777028268066217,-5.428028160840559,0.02595959595959596,False,False,True,True,True
PEBBLES_XL,trade_imbalance,50,D2+D3->D4,19900,9950,0.03792433149002224,-7.450931900874471,0.002412060301507538,False,False,True,False,False
PEBBLES_XL,trade_imbalance,100,D2+D3->D4,19800,9900,0.00931453785716391,-5.25146738950604,0.00898989898989899,False,False,True,False,True
PEBBLES_XL,neg_spread,50,D2+D3->D4,19900,9950,0.07155913972058703,-4.210871195525759,0.048542713567839194,False,False,True,True,False
PEBBLES_XL,neg_spread,100,D2+D3->D4,19800,9900,0.10307406153311764,-0.48181465341994567,0.4919191919191919,False,False,True,False,True
