feature,importance,target,horizon,model,product,vol_gate_q
ret_1_lag1,6790765.00390625,fwd_ret,50,lgbm,POOLED,5
ret_1_lag20,5013098.29296875,fwd_ret,50,lgbm,POOLED,5
ret_1_lag50,4556559.0078125,fwd_ret,50,lgbm,POOLED,5
fam_mean_ret_10_lag5,787679.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_ret_10_lag20,516895.0,fwd_ret,50,lgbm,POOLED,5
microprice_dev_lag5,497573.49609375,fwd_ret,50,lgbm,POOLED,5
fam_mean_obi_l1_lag5,335890.6015625,fwd_ret,50,lgbm,POOLED,5
microprice_dev_lag1,169834.09765625,fwd_ret,50,lgbm,POOLED,5
microprice_dev_lag50,0.0,fwd_ret,50,lgbm,POOLED,5
microprice_dev_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l1_lag50,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l3_lag1,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l3_lag5,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l1_lag5,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l1_lag1,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l3_lag50,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l3_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
obi_l1_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_obi_l1_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_microprice_dev_lag5,0.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_microprice_dev_lag20,0.0,fwd_ret,50,lgbm,POOLED,5
fam_mean_obi_l1_lag20,118.57036462142942,fwd_ret,100,ridge,POOLED,5
fam_mean_obi_l1_lag5,88.11190029841033,fwd_ret,100,ridge,POOLED,5
obi_l1_lag20,54.127735992396765,fwd_ret,100,ridge,POOLED,5
obi_l1_lag50,39.50007034300811,fwd_ret,100,ridge,POOLED,5
fam_mean_microprice_dev_lag20,37.83841137340347,fwd_ret,100,ridge,POOLED,5
fam_mean_microprice_dev_lag5,31.82112765375265,fwd_ret,100,ridge,POOLED,5
obi_l3_lag1,26.531665717467558,fwd_ret,100,ridge,POOLED,5
microprice_dev_lag20,18.455847555428566,fwd_ret,100,ridge,POOLED,5
obi_l1_lag5,18.383448583624308,fwd_ret,100,ridge,POOLED,5
obi_l1_lag1,16.35395121367618,fwd_ret,100,ridge,POOLED,5
microprice_dev_lag50,12.04234726283031,fwd_ret,100,ridge,POOLED,5
microprice_dev_lag5,11.285862691453827,fwd_ret,100,ridge,POOLED,5
microprice_dev_lag1,6.821181421809169,fwd_ret,100,ridge,POOLED,5
obi_l3_lag5,5.511026843686666,fwd_ret,100,ridge,POOLED,5
obi_l3_lag50,5.449181072564384,fwd_ret,100,ridge,POOLED,5
obi_l3_lag20,2.8726398997583145,fwd_ret,100,ridge,POOLED,5
std_500_lag1,2.5879915497010373,fwd_ret,100,ridge,POOLED,5
std_500_lag5,2.434648028265766,fwd_ret,100,ridge,POOLED,5
spread_bps_lag20,1.0251072531860237,fwd_ret,100,ridge,POOLED,5
spread_bps_lag5,0.9789899846067408,fwd_ret,100,ridge,POOLED,5
spread_bps_lag1,0.5832910284721531,fwd_ret,100,ridge,POOLED,5
std_50_lag50,0.4780719356864539,fwd_ret,100,ridge,POOLED,5
spread_bps_lag50,0.4766130199494701,fwd_ret,100,ridge,POOLED,5
std_500_lag20,0.35631207020375233,fwd_ret,100,ridge,POOLED,5
signed_flow_20_lag50,0.22267455213050244,fwd_ret,100,ridge,POOLED,5
std_500_lag50,0.18931370541449682,fwd_ret,100,ridge,POOLED,5
std_50_lag20,0.18633973396538303,fwd_ret,100,ridge,POOLED,5
std_50_lag5,0.1259053335893293,fwd_ret,100,ridge,POOLED,5
vwap_dev_lag50,0.10350412190207992,fwd_ret,100,ridge,POOLED,5
signed_flow_20_lag20,0.0997795243437425,fwd_ret,100,ridge,POOLED,5
fam_mean_ret_10_lag20,0.0942348503269061,fwd_ret,100,ridge,POOLED,5
std_50_lag1,0.06192557259337293,fwd_ret,100,ridge,POOLED,5
fam_mean_ret_10_lag5,0.045200093818695705,fwd_ret,100,ridge,POOLED,5
vwap_dev_lag1,0.04093631290927936,fwd_ret,100,ridge,POOLED,5
ret_10_lag50,0.03449080918706437,fwd_ret,100,ridge,POOLED,5
vwap_dev_lag20,0.03382786311839407,fwd_ret,100,ridge,POOLED,5
ret_1_lag50,0.03135133982625738,fwd_ret,100,ridge,POOLED,5
signed_flow_20_lag1,0.022240512549564766,fwd_ret,100,ridge,POOLED,5
ret_10_lag5,0.021927179623407327,fwd_ret,100,ridge,POOLED,5
ret_1_lag5,0.010612041053919812,fwd_ret,100,ridge,POOLED,5
ret_10_lag1,0.0077575573129917775,fwd_ret,100,ridge,POOLED,5
ret_1_lag1,0.00536023786017063,fwd_ret,100,ridge,POOLED,5
signed_flow_20_lag5,0.004622071248140286,fwd_ret,100,ridge,POOLED,5
ret_10_lag20,0.002343838465052047,fwd_ret,100,ridge,POOLED,5
vwap_dev_lag5,0.002219568753346753,fwd_ret,100,ridge,POOLED,5
ret_1_lag20,0.0022163078619273926,fwd_ret,100,ridge,POOLED,5
std_500_lag50,2501479740.5,fwd_ret,100,lgbm,POOLED,5
std_500_lag1,1414141721.3984375,fwd_ret,100,lgbm,POOLED,5
std_500_lag20,1143185754.0,fwd_ret,100,lgbm,POOLED,5
std_50_lag50,1057002880.5,fwd_ret,100,lgbm,POOLED,5
std_50_lag1,810648368.0,fwd_ret,100,lgbm,POOLED,5
std_50_lag20,786766143.8984375,fwd_ret,100,lgbm,POOLED,5
vwap_dev_lag50,773471909.8984375,fwd_ret,100,lgbm,POOLED,5
std_500_lag5,657966521.0,fwd_ret,100,lgbm,POOLED,5
vwap_dev_lag20,623836607.0,fwd_ret,100,lgbm,POOLED,5
vwap_dev_lag1,543237761.203125,fwd_ret,100,lgbm,POOLED,5
std_50_lag5,448700465.5,fwd_ret,100,lgbm,POOLED,5
spread_bps_lag50,439232104.8984375,fwd_ret,100,lgbm,POOLED,5
signed_flow_20_lag20,425475852.0,fwd_ret,100,lgbm,POOLED,5
spread_bps_lag1,393543824.0,fwd_ret,100,lgbm,POOLED,5
signed_flow_20_lag50,336882665.0,fwd_ret,100,lgbm,POOLED,5
spread_bps_lag5,303302934.203125,fwd_ret,100,lgbm,POOLED,5
spread_bps_lag20,302467277.1953125,fwd_ret,100,lgbm,POOLED,5
vwap_dev_lag5,298612660.0,fwd_ret,100,lgbm,POOLED,5
signed_flow_20_lag1,225884488.0,fwd_ret,100,lgbm,POOLED,5
signed_flow_20_lag5,166361800.0,fwd_ret,100,lgbm,POOLED,5
ret_10_lag20,92773071.0,fwd_ret,100,lgbm,POOLED,5
ret_10_lag50,79177508.8984375,fwd_ret,100,lgbm,POOLED,5
ret_10_lag5,62488166.0,fwd_ret,100,lgbm,POOLED,5
ret_10_lag1,60939010.1015625,fwd_ret,100,lgbm,POOLED,5
ret_1_lag1,8480816.203125,fwd_ret,100,lgbm,POOLED,5
ret_1_lag50,7331601.0,fwd_ret,100,lgbm,POOLED,5
ret_1_lag20,6541413.0,fwd_ret,100,lgbm,POOLED,5
ret_1_lag5,3949317.0,fwd_ret,100,lgbm,POOLED,5
microprice_dev_lag5,672142.0,fwd_ret,100,lgbm,POOLED,5
fam_mean_ret_10_lag5,495742.0,fwd_ret,100,lgbm,POOLED,5
fam_mean_ret_10_lag20,208506.0,fwd_ret,100,lgbm,POOLED,5
fam_mean_microprice_dev_lag20,181657.0,fwd_ret,100,lgbm,POOLED,5
obi_l3_lag50,0.0,fwd_ret,100,lgbm,POOLED,5
microprice_dev_lag50,0.0,fwd_ret,100,lgbm,POOLED,5
microprice_dev_lag20,0.0,fwd_ret,100,lgbm,POOLED,5
obi_l1_lag50,0.0,fwd_ret,100,lgbm,POOLED,5
obi_l3_lag1,0.0,fwd_ret,100,lgbm,POOLED,5
obi_l3_lag5,0.0,fwd_ret,100,lgbm,POOLED,5
obi_l1_lag5,0.0,fwd_ret,100,lgbm,POOLED,5
obi_l1_lag1,0.0,fwd_ret,100,lgbm,POOLED,5
obi_l1_lag20,0.0,fwd_ret,100,lgbm,POOLED,5
microprice_dev_lag1,0.0,fwd_ret,100,lgbm,POOLED,5
obi_l3_lag20,0.0,fwd_ret,100,lgbm,POOLED,5
fam_mean_obi_l1_lag5,0.0,fwd_ret,100,lgbm,POOLED,5
fam_mean_obi_l1_lag20,0.0,fwd_ret,100,lgbm,POOLED,5
fam_mean_microprice_dev_lag5,0.0,fwd_ret,100,lgbm,POOLED,5
