feature,importance,target,horizon,model,product,vol_gate_q
spread_bps_lag20,30693342.18359375,fwd_ret,50,lgbm,PEBBLES_L,5
signed_flow_20_lag5,22028151.07421875,fwd_ret,50,lgbm,PEBBLES_L,5
ret_10_lag50,13289779.938476562,fwd_ret,50,lgbm,PEBBLES_L,5
ret_10_lag1,8198914.6630859375,fwd_ret,50,lgbm,PEBBLES_L,5
ret_10_lag20,5982854.583496094,fwd_ret,50,lgbm,PEBBLES_L,5
ret_10_lag5,5000231.09375,fwd_ret,50,lgbm,PEBBLES_L,5
ret_1_lag1,823005.060546875,fwd_ret,50,lgbm,PEBBLES_L,5
ret_1_lag20,693533.2421875,fwd_ret,50,lgbm,PEBBLES_L,5
ret_1_lag5,419866.787109375,fwd_ret,50,lgbm,PEBBLES_L,5
fam_mean_microprice_dev_lag20,259048.400390625,fwd_ret,50,lgbm,PEBBLES_L,5
ret_1_lag50,238604.7001953125,fwd_ret,50,lgbm,PEBBLES_L,5
fam_mean_microprice_dev_lag5,191108.92138671875,fwd_ret,50,lgbm,PEBBLES_L,5
fam_mean_ret_10_lag5,181406.7705078125,fwd_ret,50,lgbm,PEBBLES_L,5
fam_mean_ret_10_lag20,41503.11083984375,fwd_ret,50,lgbm,PEBBLES_L,5
microprice_dev_lag20,22328.900390625,fwd_ret,50,lgbm,PEBBLES_L,5
microprice_dev_lag1,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
microprice_dev_lag50,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
obi_l3_lag50,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
obi_l3_lag1,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
obi_l3_lag5,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
obi_l1_lag5,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
obi_l1_lag1,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
obi_l1_lag20,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
microprice_dev_lag5,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
obi_l3_lag20,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
obi_l1_lag50,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
fam_mean_obi_l1_lag20,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
fam_mean_obi_l1_lag5,0.0,fwd_ret,50,lgbm,PEBBLES_L,5
